date,state,positive,negative,pending,hospitalized_currently,hospitalized_cumulative,in_icu_currently,in_icu_cumulative,on_ventilator_currently
2021-03-03,WY,54616.0,181681.0,,24.0,1388.0,,,
2021-03-02,AK,56428.0,,,26.0,1286.0,,,6.0
2021-03-02,AL,494421.0,1908302.0,,631.0,45699.0,,2659.0,
2021-03-02,AR,322949.0,2448042.0,,416.0,14795.0,160.0,,80.0
2021-03-02,AS,0.0,2140.0,,,,,,
2021-03-02,AZ,818670.0,3007671.0,,1202.0,57591.0,385.0,,203.0
2021-03-02,CA,3481611.0,,,5302.0,,1452.0,,
2021-03-02,CO,430615.0,2178555.0,,395.0,23593.0,,,
2021-03-02,CT,283128.0,,,413.0,,,,
2021-03-02,DC,40767.0,,,177.0,,47.0,,29.0
2021-03-02,DE,87193.0,539891.0,,151.0,,18.0,,
2021-03-02,FL,1882865.0,9225981.0,8411.0,3674.0,80972.0,,,
2021-03-02,GA,1011807.0,,,2348.0,56251.0,,9158.0,
2021-03-02,GU,7742.0,111547.0,,4.0,,2.0,,1.0
2021-03-02,HI,28390.0,,,31.0,2226.0,6.0,,3.0
2021-03-02,HI,28390.0,,,31.0,2226.0,6.0,,3.0
2021-03-02,IA,280509.0,1036107.0,,209.0,,39.0,,11.0
2021-03-02,ID,171462.0,501356.0,,121.0,7111.0,32.0,1234.0,
2021-03-02,IL,1189416.0,,,1231.0,,281.0,,148.0
2021-03-02,IN,662750.0,2460279.0,,765.0,42862.0,123.0,7535.0,64.0
2021-03-02,KS,294302.0,964803.0,,165.0,9290.0,43.0,2521.0,16.0
2021-03-02,KY,406201.0,,,684.0,19234.0,178.0,3993.0,82.0
2021-03-02,LA,431271.0,5177425.0,,629.0,,,,89.0
2021-03-02,MA,582844.0,4362966.0,,775.0,19444.0,187.0,,116.0
2021-03-02,MD,383170.0,3006690.0,,896.0,35152.0,232.0,,
2021-03-02,ME,44944.0,,,69.0,1536.0,25.0,,8.0
2021-03-02,MI,649057.0,,,959.0,,228.0,,99.0
2021-03-02,MI,649057.0,,,959.0,,228.0,,99.0
2021-03-02,MN,485655.0,3017033.0,,243.0,25826.0,57.0,5329.0,
2021-03-02,MO,478682.0,1862141.0,,1025.0,,213.0,,141.0
2021-03-02,MP,143.0,17429.0,,,4.0,,,
2021-03-02,MS,295295.0,1459374.0,,457.0,9162.0,109.0,,69.0
2021-03-02,MT,100158.0,,,83.0,4591.0,20.0,,7.0
2021-03-02,NC,863409.0,,,1353.0,,334.0,,
2021-03-02,ND,99957.0,305430.0,,24.0,3874.0,3.0,566.0,
2021-03-02,NE,201346.0,765676.0,,154.0,6140.0,,,
2021-03-02,NH,75803.0,576072.0,,88.0,1119.0,,346.0,
2021-03-02,NJ,795785.0,9983526.0,,1915.0,63917.0,395.0,,228.0
2021-03-02,NM,185542.0,,,199.0,13148.0,,,
2021-03-02,NV,294289.0,1120242.0,,459.0,,108.0,,53.0
2021-03-02,NY,1642480.0,,,5369.0,,1076.0,,747.0
2021-03-02,OH,970583.0,,,1131.0,50503.0,295.0,7160.0,207.0
2021-03-02,OK,424999.0,3100280.0,2435.0,447.0,23999.0,134.0,,
2021-03-02,OR,155787.0,,,158.0,8621.0,33.0,,13.0
2021-03-02,PA,935834.0,3898167.0,,1670.0,,354.0,,190.0
2021-03-02,PA,935834.0,3898167.0,,1670.0,,354.0,,190.0
2021-03-02,PR,100735.0,305972.0,,162.0,,23.0,,24.0
2021-03-02,RI,126849.0,670284.0,,157.0,8966.0,25.0,,17.0
2021-03-02,SC,518823.0,4549598.0,,706.0,20428.0,190.0,,86.0
2021-03-02,SD,112652.0,310811.0,,92.0,6640.0,13.0,,10.0
2021-03-02,TN,776337.0,,,991.0,18679.0,256.0,,133.0
2021-03-02,TX,2655592.0,,,5644.0,,1728.0,,
2021-03-02,UT,371979.0,1541145.0,,237.0,14753.0,92.0,2324.0,
2021-03-02,VA,578559.0,,217.0,1345.0,24258.0,305.0,,200.0
2021-03-02,VI,2646.0,45225.0,110.0,,,,,
2021-03-02,VT,15372.0,317005.0,,24.0,,7.0,,
2021-03-02,WA,340708.0,,,473.0,19372.0,125.0,,61.0
2021-03-02,WI,618307.0,2631712.0,23.0,275.0,26222.0,71.0,2259.0,
2021-03-02,WI,618307.0,2631712.0,23.0,275.0,26222.0,71.0,2259.0,
2021-03-02,WV,132184.0,,,210.0,,61.0,,28.0
2021-03-02,WY,54527.0,181403.0,,24.0,1385.0,,,
2021-03-01,AK,56339.0,,,25.0,1279.0,,,5.0
2021-03-01,AL,493769.0,1905141.0,,651.0,45648.0,,2651.0,
2021-03-01,AR,322509.0,2444369.0,,441.0,14763.0,173.0,,84.0
2021-03-01,AS,0.0,2140.0,,,,,,
2021-03-01,AZ,817821.0,3002212.0,,1241.0,57589.0,382.0,,196.0
2021-03-01,CA,3479078.0,,,5409.0,,1518.0,,
2021-03-01,CO,429839.0,2175502.0,,427.0,23550.0,,,
2021-03-01,CT,282626.0,,,417.0,,,,
2021-03-01,DC,40684.0,,,168.0,,46.0,,25.0
2021-03-01,DE,87080.0,539551.0,,151.0,,23.0,,
2021-03-01,FL,1875818.0,9192789.0,8441.0,3686.0,80659.0,,,
2021-03-01,GA,1008660.0,,,2348.0,56089.0,,9132.0,
2021-03-01,GU,7737.0,109867.0,,3.0,,2.0,,1.0
2021-03-01,HI,28355.0,,,31.0,2214.0,3.0,,3.0
2021-03-01,HI,28355.0,,,31.0,2214.0,3.0,,3.0
2021-03-01,IA,280279.0,1035119.0,,197.0,,48.0,,15.0
2021-03-01,ID,171140.0,500096.0,,162.0,7076.0,35.0,1231.0,
2021-03-01,IL,1187839.0,,,1288.0,,308.0,,148.0
2021-03-01,IN,662213.0,2457982.0,,763.0,42815.0,124.0,7514.0,66.0
2021-03-01,KS,294302.0,964803.0,,165.0,9290.0,43.0,2521.0,16.0
2021-03-01,KY,405126.0,,,719.0,19143.0,180.0,3976.0,82.0
2021-03-01,LA,430504.0,5155000.0,,629.0,,,,91.0
